Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
409,P.J. Tucker\tuckepj01,SF,31,PHO,51,17,28.6,2.6,6.1,.420,0.8,2.4,.347,1.7,3.7,.466,.487,1.1,1.4,.775,1.5,4.3,5.8,1.3,1.5,0.3,0.8,2.5,7.0
410,Evan Turner\turneev01,SG,28,POR,48,8,26.3,3.9,8.9,.435,0.6,2.0,.287,3.3,7.0,.476,.466,1.4,1.7,.850,0.5,3.3,3.9,3.4,0.9,0.4,1.6,1.8,9.7
411,Myles Turner\turnemy01,C,20,IND,49,49,30.4,5.9,11.1,.532,0.7,1.7,.398,5.2,9.4,.556,.562,3.1,3.9,.801,1.5,5.8,7.3,1.0,0.8,2.3,1.4,3.2,15.6
412,Beno Udrih\udrihbe01,PG,34,DET,29,0,14.3,2.3,5.1,.459,0.3,1.0,.357,2.0,4.1,.483,.493,0.8,0.9,.923,0.2,1.1,1.3,3.1,0.2,0.0,0.8,0.7,5.9
413,Tyler Ulis\ulisty01,PG,21,PHO,32,0,9.0,1.3,3.3,.381,0.2,0.4,.357,1.1,2.8,.385,.405,0.3,0.4,.786,0.2,0.5,0.7,1.1,0.6,0.0,0.8,0.8,3.0
414,Jonas Valanciunas\valanjo01,C,24,TOR,49,49,27.0,4.7,9.0,.526,0.0,0.0,,4.7,9.0,.526,.526,2.4,2.8,.849,3.0,7.0,10.0,0.8,0.5,0.8,1.4,2.9,11.9
415,Denzel Valentine\valende01,SG,23,CHI,27,0,11.9,1.1,3.6,.320,0.8,2.5,.313,0.4,1.1,.333,.428,0.3,0.3,.875,0.1,1.6,1.6,0.6,0.5,0.1,0.6,1.0,3.3
416,Fred VanVleet\vanvlfr01,PG,22,TOR,20,0,6.3,1.0,2.6,.392,0.4,0.8,.467,0.7,1.8,.361,.461,0.2,0.3,.600,0.2,0.7,0.8,0.7,0.5,0.1,0.2,0.9,2.5
417,Anderson Varejao\varejan01,C,34,GSW,14,1,6.6,0.4,1.0,.357,0.0,0.0,,0.4,1.0,.357,.357,0.6,0.8,.727,0.9,1.1,1.9,0.7,0.2,0.2,0.6,1.1,1.3
418,Greivis Vasquez\vasqugr01,PG,30,BRK,3,0,13.0,0.7,2.7,.250,0.3,1.0,.333,0.3,1.7,.200,.313,0.7,1.0,.667,0.0,0.7,0.7,1.7,0.3,0.3,0.3,2.0,2.3
419,Rashad Vaughn\vaughra01,SG,20,MIL,21,0,11.1,1.5,4.0,.365,0.9,2.4,.353,0.6,1.6,.382,.471,0.0,0.1,.500,0.0,1.1,1.2,0.4,0.5,0.2,0.3,0.6,3.9
420,Noah Vonleh\vonleno01,PF,21,POR,43,11,12.6,1.3,3.3,.414,0.2,0.5,.350,1.2,2.8,.425,.439,0.5,0.9,.590,1.3,2.6,3.9,0.2,0.3,0.3,0.7,1.6,3.4
421,Nikola Vucevic\vucevni01,C,26,ORL,50,30,28.4,6.3,13.2,.474,0.3,1.0,.280,6.0,12.2,.490,.485,1.2,1.9,.619,2.2,7.5,9.7,2.9,0.9,1.0,1.6,2.4,14.0
422,Sasha Vujacic\vujacsa01,SG,32,NYK,27,2,8.5,0.8,2.4,.328,0.4,1.3,.306,0.4,1.0,.357,.414,0.4,0.6,.800,0.1,1.1,1.2,0.9,0.3,0.1,0.4,0.9,2.4
423,Dwyane Wade\wadedw01,SG,35,CHI,46,45,30.4,7.1,16.5,.428,0.8,2.6,.322,6.3,14.0,.448,.453,3.9,4.9,.799,1.1,3.3,4.5,3.9,1.6,0.7,2.3,1.9,18.9
424,Dion Waiters\waitedi01,SG,25,MIA,31,28,30.5,6.1,14.5,.419,1.7,4.3,.398,4.4,10.2,.427,.478,1.8,2.7,.647,0.4,3.0,3.5,4.1,0.9,0.5,2.1,2.2,15.6
425,Kemba Walker\walkeke02,PG,26,CHO,50,50,33.8,8.1,17.9,.453,2.8,6.9,.401,5.3,11.0,.485,.530,3.9,4.6,.835,0.6,3.4,4.1,5.5,1.1,0.3,2.3,1.6,22.8
426,John Wall\walljo01,PG,26,WAS,48,48,36.4,8.5,18.4,.459,1.1,3.5,.319,7.4,15.0,.492,.489,5.0,6.1,.812,0.9,3.6,4.5,10.4,2.2,0.5,4.1,2.0,23.0
427,Taurean Waller-Prince\princta02,SF,22,ATL,30,0,10.0,1.1,3.0,.374,0.3,1.1,.273,0.8,1.9,.431,.423,0.9,1.0,.897,0.2,1.6,1.8,0.7,0.3,0.3,0.7,1.1,3.4
