"","Team.Game","Player.Game","Date","Age","Tm","Where","Opp","Result","PointDiff","GS","MP","FG","FGA","FG.percent","3PM","3PA","3P.percent","FT","FTA","FT.percent","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Plus.Minus","Playername"
"119",37,37,"2017-01-05","27-132","HOU","Home","OKC","W ",2,1,"38:05",6,16,0.375,2,7,0.286,12,14,0.857,1,7,8,12,1,1,6,2,26,22.5,2,"harden"
"120",38,38,"2017-01-06","27-133","HOU","Away","ORL","W ",7,1,"34:09",5,15,0.333,0,8,0,4,6,0.667,1,5,6,10,1,0,6,4,14,7.3,-6,"harden"
"121",39,39,"2017-01-08","27-135","HOU","Away","TOR","W ",7,1,"37:51",13,26,0.5,4,9,0.444,10,10,1,3,7,10,11,2,2,10,3,40,31.1,-3,"harden"
"122",40,40,"2017-01-10","27-137","HOU","Home","CHO","W ",7,1,"37:47",11,24,0.458,7,14,0.5,11,14,0.786,1,14,15,10,0,0,4,3,40,33.1,2,"harden"
"123",41,41,"2017-01-11","27-138","HOU","Away","MIN","L ",-14,1,"38:38",10,23,0.435,2,11,0.182,11,13,0.846,0,6,6,12,1,2,6,0,33,26.7,-10,"harden"
"124",42,42,"2017-01-13","27-140","HOU","Home","MEM","L ",-5,1,"36:43",6,14,0.429,2,7,0.286,13,14,0.929,0,3,3,9,1,0,7,3,27,19.2,-2,"harden"
"125",43,43,"2017-01-15","27-142","HOU","Away","BRK","W ",25,1,"31:31",6,16,0.375,4,9,0.444,6,7,0.857,2,10,12,11,1,0,7,4,22,17.3,18,"harden"
"126",44,44,"2017-01-17","27-144","HOU","Away","MIA","L ",-6,1,"39:20",12,30,0.4,4,15,0.267,12,13,0.923,1,11,12,10,2,0,6,3,40,29.2,0,"harden"
"127",45,45,"2017-01-18","27-145","HOU","Home","MIL","W ",19,1,"36:42",14,25,0.56,4,11,0.364,6,6,1,0,6,6,8,0,2,2,2,38,32.1,21,"harden"
"128",46,46,"2017-01-20","27-147","HOU","Home","GSW","L ",-17,1,"34:56",6,13,0.462,0,5,0,5,5,1,0,6,6,11,1,0,7,3,17,12.6,-20,"harden"
"129",47,47,"2017-01-21","27-148","HOU","Away","MEM","W ",24,1,"33:53",7,9,0.778,4,6,0.667,11,12,0.917,1,5,6,10,3,2,6,3,29,31.5,21,"harden"
"130",48,48,"2017-01-23","27-150","HOU","Away","MIL","L ",-13,1,"39:33",6,10,0.6,2,4,0.5,12,14,0.857,0,8,8,12,3,1,11,3,26,22.9,5,"harden"
"131",49,49,"2017-01-25","27-152","HOU","Away","BOS","L ",-11,1,"37:01",6,18,0.333,2,11,0.182,16,19,0.842,0,6,6,12,1,1,7,3,30,22.3,-14,"harden"
"132",50,50,"2017-01-27","27-154","HOU","Away","PHI","W ",5,1,"39:09",16,28,0.571,6,11,0.545,13,14,0.929,1,12,13,13,2,1,5,4,51,46.9,13,"harden"
"133",51,51,"2017-01-29","27-156","HOU","Away","IND","L ",-19,1,"31:49",3,17,0.176,2,10,0.2,7,7,1,1,4,5,8,3,0,8,5,15,4.8,-23,"harden"
"134",52,52,"2017-01-31","27-158","HOU","Home","SAC","W ",22,1,"31:44",3,9,0.333,0,5,0,4,4,1,0,7,7,8,1,0,5,2,10,7.8,17,"harden"
"135",53,53,"2017-02-02","27-160","HOU","Home","ATL","L ",-5,1,"38:35",10,23,0.435,5,12,0.417,16,21,0.762,2,6,8,8,4,0,4,3,41,34.5,1,"harden"
"136",54,54,"2017-02-03","27-161","HOU","Home","CHI","W ",4,1,"43:42",13,33,0.394,5,13,0.385,11,14,0.786,1,11,12,9,1,1,2,4,42,31.3,-11,"harden"
"137",55,55,"2017-02-07","27-165","HOU","Home","ORL","W ",24,1,"36:00",6,21,0.286,3,10,0.3,10,14,0.714,1,5,6,13,3,0,4,1,25,21,18,"harden"
"138",56,56,"2017-02-09","27-167","HOU","Away","CHO","W ",12,1,"39:27",8,21,0.381,4,9,0.444,10,12,0.833,1,10,11,8,1,1,9,4,30,18.1,13,"harden"
"139",57,57,"2017-02-11","27-169","HOU","Home","PHO","W ",31,1,"29:13",9,17,0.529,8,15,0.533,14,16,0.875,1,5,6,8,0,0,8,2,40,29.9,26,"harden"
"140",58,58,"2017-02-15","27-173","HOU","Home","MIA","L ",-8,1,"41:43",10,21,0.476,4,10,0.4,14,16,0.875,3,9,12,12,0,1,4,5,38,34.4,-6,"harden"
"141",59,59,"2017-02-23","27-181","HOU","Away","NOP","W ",30,1,"29:41",3,9,0.333,1,6,0.167,6,6,1,0,4,4,14,3,0,4,1,13,17.5,27,"harden"
